Cod_setor;Situacao_setor;V001;V002;V003
230150505000010;5;45;0;0
230150505000011;8;2;"X";"X"
230150505000012;8;64;0;0
230150505000013;8;1;"X";"X"
230150505000014;8;95;0;1
230150505000015;7;128;0;0
230150510000001;1;71;0;0
230150510000002;8;62;"X";"X"
230150510000003;8;78;0;0
230150510000004;8;82;1;0
230150510000005;7;0;"X";"X"
230150520000001;1;92;0;0
230150520000002;8;58;0;0
230150520000003;8;83;1;0
230160405000001;1;100;0;0
230160405000002;1;111;0;0
230160405000003;1;89;0;0
230160405000004;1;105;0;0
230160405000005;1;87;1;0
230160405000006;1;137;2;0
230160405000007;1;94;1;0
230160405000008;1;139;1;0
230160405000009;1;184;1;0
230160405000010;8;99;0;0
230160405000011;8;106;0;0
230160405000012;8;150;0;0
230160405000013;8;101;0;0
230160405000014;8;164;1;0
230160405000015;8;97;0;0
230160405000016;8;70;0;0
230160405000017;8;77;0;0
230160405000018;8;50;1;0
230160405000019;8;142;1;0
230160405000020;1;56;0;0
230160405000021;1;124;2;0
230160405000022;1;56;0;0
230160405000023;1;117;0;0
230160405000024;1;69;0;0
230160405000025;1;215;1;0
230160405000026;1;191;0;0
230160405000027;8;219;0;0
230160410000001;1;132;0;0
230160410000002;8;37;0;0
230160410000003;8;59;0;0
230160410000004;8;42;0;0
230160410000005;8;41;0;0
230160410000006;5;30;0;0
230160410000007;8;36;0;0
230160410000008;8;113;0;0
230160410000009;5;53;0;0
230160415000001;1;181;3;0
230160415000002;8;57;1;0
230160415000003;8;75;4;0
230160415000004;8;61;0;0
230160415000005;8;150;0;0
230170305000001;1;210;0;0
230170305000002;1;228;3;0
230170305000003;1;295;1;0
230170305000004;1;89;0;0
230170305000005;1;34;0;0
230170305000006;1;69;0;0
230170305000007;1;74;"X";"X"
230170305000008;8;93;0;0
230170305000009;8;158;0;0
230170305000010;8;134;0;0
230170305000011;8;57;0;0
230170305000012;8;116;0;0
230170305000013;8;66;0;0
230170305000014;8;73;0;0
230170305000015;8;105;0;0
230170305000016;8;142;0;0
230170305000017;8;87;0;0
230170305000018;1;3;"X";"X"
230170305000019;1;12;0;0
230170305000020;1;57;0;0
230170305000021;1;46;0;0
230170305000022;1;185;0;0
230170305000023;1;51;2;0
230170305000024;1;96;0;0
230170305000025;1;16;0;0
230170305000026;1;30;"X";"X"
230170305000027;1;30;0;0
230170305000028;1;21;0;0
230170305000029;1;71;0;0
230170305000031;1;0;"X";"X"
230170305000032;1;21;"X";"X"
230170305000033;1;6;"X";"X"
230170305000034;1;24;"X";"X"
230170305000035;1;8;"X";"X"
230170305000036;1;2;"X";"X"
230170305000037;1;0;"X";"X"
230170305000038;1;47;0;0
230170305000039;1;12;0;0
230170305000040;1;13;0;0
230170305000041;5;8;0;0
230170305000042;5;13;0;0
230170310000001;1;131;0;0
230170310000002;8;61;0;0
230170310000003;8;69;0;0
230170310000004;8;63;0;0
230170310000005;8;64;0;0
230170310000006;8;115;0;0
230170310000007;8;45;0;0
230170310000008;8;52;0;0
230170310000009;8;136;0;0
230170310000011;1;148;0;0
230170312000001;1;40;0;0
230170312000002;8;53;0;0
230170312000003;8;40;0;0
230170312000004;8;55;0;0
230170312000005;8;28;0;0
230170312000006;8;69;1;0
230170315000001;1;34;0;0
230170315000002;8;52;0;0
230170315000003;8;102;0;0
230170315000004;8;53;0;0
230180205000001;1;246;1;0
230180205000002;1;123;0;0
230180205000003;8;64;0;0
230180205000004;8;42;0;0
230180205000005;8;125;1;0
230180205000006;8;106;0;0
230180205000007;8;57;0;0
230180205000008;1;95;0;0
230180205000009;1;105;0;0
230180205000010;8;68;0;0
230185105000001;1;165;0;0
230185105000002;1;239;0;0
230185105000003;1;227;0;0
230185105000004;1;175;0;0
230185105000005;1;74;0;0
230185105000006;1;121;1;0
230185105000007;1;85;0;0
230185105000008;8;83;1;0
230185105000009;8;144;0;0
230185105000010;8;169;1;0
230185105000011;8;33;1;0
230185105000012;8;198;0;0
230185105000013;1;155;3;0
230185105000014;1;159;2;0
230185105000015;1;122;1;0
230185112000001;1;26;1;0
230185112000002;8;134;1;0
230185114000001;1;116;0;0
230185114000002;8;99;0;0
230185115000001;1;12;0;0
230185115000002;8;143;0;0
230185115000003;8;91;1;0
230185115000004;8;178;0;1
230185115000005;8;3;0;0
230185115000006;8;95;1;2
230185115000007;8;59;1;0
230185120000001;1;64;0;0
230185120000002;8;130;0;0
230185120000003;8;89;1;0
230185120000004;8;112;0;0
230185120000005;8;90;0;0
230190105000001;1;53;0;0
